peopleID    competitionID  sportID     result    
----------  -------------  ----------  ----------
91          46             4           60.46     
102         92             4           60.45     
111         33             4           60.45     
151         12             4           60.4      
168         8              4           60.22     
68          72             4           60.21     
24          33             4           59.91     
196         63             4           59.84     
158         48             4           59.8      
83          47             4           59.75     
